English Word,Persian Word
random matrix,ماتریس تصادفی
random model,مدل تصادفی
random noise,نوفه ی تصادفی
random number,عدد تصادفی
random number generation,تولید عدد تصادفی ، تولید اعداد تصادفی 
random number generator,مولّد عدد تصادفی
random numbers,اعداد تصادفی ، ارقام تصادفی 
random order,ترتیب تصادفی
random ordered sample,نمونه ی مرتب تصادفی
random process,فرایند تصادفی
random prospect,نمود تصادفی
random sample,نمونه‌ی تصادفی ، نمونه تصادفی ، نمونه ی تصادفی 
random sampling,نمونه‌گیری تصادفی ، نمونه‌برداری تصادفی ، نمونه گیری تصادفی ، نمونه ب ... 
random sampling procedure,شیوه ی نمونه گیری تصادفی
random sampling with replacement,نمونه گیری تصادفی با جایگذاری
random sampling without replacement,نمونه گیری تصادفی بدون جایگذاری
random sequence,دنباله تصادفی ، دنباله ی تصادفی 
random sets of points,مجموعه‌های تصادفی نقاط
random sum distribution,توزیع مجموع تصادفی
random tessellation,سنگفرش تصادفی
random type surveying,آمارگیری تصادفی ، آمارگیری از نوع تصادفی 
random utility model,مدل مطلوبیت تصادفی
random value,مقدار تصادفی ، مقدار اتفاقی 
random variable,متغیّر تصادفی ، کمیّت تصادفی ، متغیر تصادفی ، متغیر تصادفی / کلمات مر ... 
random variable generation,تولید متغیر تصادفی
random vector,بُردار تصادفی ، بردار تصادفی 
random walk,قدم زدن تصادفی ، گردش تصادفی ، سیر تصادفی ، گام برداری تصادفی ، گام ت ... 
random walk model,مدل قدم زدن تصادفی
random-digit dialing,تلفن زدن تصادفی
random-digit dialing sampling method,روش نمونه‌گیری با شماره تلفن تصادفی
randomied block design,طرح بلوکی تصادفی‌شده
randomization,تصادفی کردن ؛ انتخاب تصادفی ، تصادفی کردن ، انتخاب تصادفی 
randomization test,آزمون تصادفیدن
randomize,تصادفی کردن ، بختی کردن 
randomized,تصادفی ، تصادفی شده ، بختین 
randomized block design,طرح بلوکی تصادفیده ، طرح بلوکی تصادفی شده 
randomized blocks,بلوکهای تصادفیده
randomized complete blocks,بلوکهای کامل تصادفیده
randomized consent design,طرح رضایت تصادفیده
randomized gamma distribution,توزیع گامای تصادفیده
randomized model,مدل تصادفیده
randomized numbers,اعداد تصادفی
randomized stopped-sum distribution,توزیع مجموع‌متوقف تصادفیده
randomized strategy,استراتژی تصادفی‌شده
randomized test,آزمون تصادفیده
randomly,به طور تصادفی ، بختانه ، به طور تصادفی بختانه ، بطور تصادفی ، به طور  ... 
randomness,تصادفی
range,مجموعه‌ی مقادیر ، بُرد ، فاصله‌ی تغییرات ، دامنه ، حوزه ، قلمرو ، دام ... 
range finder,مساحت یاب ، مسافت یاب 
range finding,یافتن برد
range limits,حدود دامنه
range method,روش دامنه ی تغییرات ، روش های کمی نمونه گیری 
range of a correspondence,برد تناظر
range of a function,بُرد یک تابع ، ناحیه ی مقادیر تابع ، برد تابع ، برد یک تابع 
range of a linear transformation,برد یک تبدیل خطی
range of a mapping,مجموعه ی مقادیر ، بُرد یک نگاشت 
range of a variable,برد متغیر
range of function,برد یک تابع ، تابع برد تابع ، ناحیه ی مقادیر 
range of mapping,برد یک نگاشت
range of points,مجموعه ای از نقاط روی خطّ راست
range of relation,بُرد رابطه ، بُرد نسبت ؛ ناحیه ی مقادیر رابطه ، حوزه ی مقدار رابطه ،  ... 
range of variable,بُرد متغیّر ، دامنه ی تغییرات ، برد یک متغیر 
range of variations,دامنه ی تغییرات ، حیطه ی تغییرات 
range space,فضای مقادیر
vector equation,معادله برداری ، معادله ی برداری 
vector eta,بردار اتا
vector field,میدان برداری
vector function,تابع برداری
vector geometry,هندسه برداری بخشی از هندسه که در آن اثبات احکام بر خواص بردارها بنا م ... 
vector interpolation,درونیابی برداری
vector operation,عملیات برداری
vector operations,عملیّات برداری ، عملیات برداری 
vector potential,پتانسیل برداری
vector product,ضرب برداری ، حاصل‌ضرب برداری ؛ ضرب خارجی ، حاصل‌ضرب خارجی ، حاصل ضرب  ... 
vector projection,تصویر برداری
vector quantity,کمّیت برداری کمّیتی که با اندازه ، جهت و امتداد مشخص می شود مانند سرع ... 
vector space,فضای برداری ، فضای حاملی ، فضای خطی 
vector subspace,زیرفضای برداری ، تحت‌فضای برداری ، تحت فضای برداری 
vector triple product,حاصل ضرب سه گانه ی بردار
vector valued,بردار ارز ، بردار مقدار ، برداری ، برداری مقدار 
vector valued function,تابع بردار مقدار ، تابع برداری 
vector with n components,بردار با n مولّفه ، بردار با n مؤلفه 
vector zero,بردار صفر
vectorial,برداری
vectorial angle,زاویه ی قطبی
vectorial component,مولّفه برداری ، مؤلفه ی برداری 
vectorial data,داده‌های برداری
vectorial parametrical representation,نمایش پارامتری برداری
vectorial parametrical represntation,نمایش پارامتری-برداری
